,degree,field
529,"Business Administration and Management, General","Business Administration and Management, General"
530,Adult Social,Adult Social
531,Accounting Technology/Technician and Bookkeeping,Accounting Technology/Technician and Bookkeeping
532,"Business Administration and Management, General","Business Administration and Management, General"
533,"English Language and Literature, General","English Language and Literature, General"
534,BSc Honours  Statistics,Mathematics
535,Chemical Laboratory Technician,Chemistry
536,"MA Jurisprudence, Honour Moderations Latin and Greek literature","Greek Literature, Literature, Cultural Studies, Language"
537,Film Production Technology,Film Production Technology
538,BTEC Creative Media Production Extended Diploma,"Film Production Technology, Creative Media"
539,BTEC,Creative Media
540,Communication and Media Studies,Communication and Media Studies
541,Business Administration and Management,Business Administration and Management
542,Marketing,Marketing
543,Business,Business
544,Bachelor of Science - Accountancy,Accounting | Business and Manageme
545,Bachelor's degree Psychology,Psychology
546,Education & Human Development,Education & Human Development
547,Motion Graphics,Motion Graphics
548,"Theater, Puppetry, Writing","Theater, Puppetry, Writing"
549,Bachelor's Degree Electrical Power,Electrical Power
550,"Business/Commerce, General","Business/Commerce, General"
551,Mathematics,Mathematics
552,Master of Engineering (MEng),Textile Sciences and Engineering
553,Bachelor of Business Administration (B.B.A.),"Business Administration and Management, General"
554,Bachelor of Engineering (BEng),Apparel and Textiles
555,BSc Political Science,Political Sciences
556,Diploma in Computer Operations/Office Management,Computer Operation Management
557,Bachelor of Engineering (B.E.),Electronics & communication
558,Industrial Engineering,Industrial Engineering
559,Law,Law
560,Pharmaceutical,Pharmaceutical
561,Medicine,Medicine
562,Physics,Physics
563,Finance,Finance
564,Computer Science,Computer Science
565,Middle School Diploma,Junior High/Intermediate/Middle School Education and Teaching
566,Bachelors of Arts,Bachelors Of Education
567,Bachelor of Engineering - BE Telecommunications Engineering,Telecommunications Engineering
568,Bachelor of Engineering - BE Telecommunications Engineering,Telecommunications Engineering
569,B.Sc Software Engineering,Software Engineering
570,Chemistry,Chemistry
571,Bachelor's degree Chemistry,Chemistry
572,Global Marketing,"Global Marketing, Sales Force Management, Integrated Marketing Communications, Strategic Planning"
573,Economics and Intellectual Property Protection,"Economics, Intellectual Property rights, Trademarks and Copyright Law, Accounting, Marketing"
574,"Computer Science, Physics","Computer Science, Physics"
575,Floriculture/Floristry Operations and Management,Floriculture/Floristry Operations and Management
576,Health/Health Care Administration/Management,Health/Health Care Administration/Management
577,Marketing,Marketing
578,Chemistry,Chemistry
579,Master of Business Administration - MBA,"Finance, General"
580,Biomedical Engineering,Biomedical Engineering
581,Electrical Engineering,Electrical Engineering
582,MBA,Business Administration
583,BA Economics emphasis in Accounting,"Economics, Accounting"
584,MBA,MBA
585,BS Electrical Engineering,Electrical Engineering
586,High School,Science and Mathematics
587,Recreation Administration; Option: Resort and Lodging Management,Recreation Administration; Option: Resort and Lodging Management
588,Masters Health Leadership,Health/Health Care Administration/Management
589,Health Information/Medical Records Administration/Administrator,Health Information/Medical Records Administration/Administrator
590,Associate of Arts and Sciences (A.A.S.) Health Information,Health Information/Medical Records Technology/Technician
591,Doctor of Health Leadership,Health/Health Care Administration/Management
592,Bachelor of Science Computer Science,Computer Science
593,High School,Geography
594,Associate of Science (A.S.) Occupational Therapy Assistant,"Healthcare, Medical Sciences"
595,Bachelor of Science (BS) Kinesiology,"Kinesiology, Healthcare, Medical Sciences"
596,Associate of Arts (A.A.) Liberal Arts,Liberal Arts
597,Sociology Gender and Sexuality,"Gender and Sexuality, Human Behavior, Social Sciences, Healthcare, Mental Health"
598,Accounting,Accounting
599,Mechanical Engineering,Mechanical Engineering
600,Welding Supervisor & Inspector,Welding Engineering Technology
601,Certificate IV in Business Management,"Business Administration and Management, General"
602,Higher School Certificate,High School/Secondary Diplomas and Certificates
603,Fashion design,"Arts, Fashion"
604,Mathematics,Mathematics
605,Mathematics,Mathematics
606,Marketing and Leadership,Marketing and Leadership
607,Bachelor of Computer Science (BCS),Computer Science
608,Computer science,Computer Programming
609,Bachelor of Education - BEd,English/Language Arts Teacher Education
610,Mechanical Engineering,Mechanical Engineering
611,Bachelor of Arts,Liberal Arts
612,UX Design,"Design, Computer Science, User Experience, User Interface"
613,Diploma in Media Communication with an emphasis in Public Relations,"Media Communication, Public Relations"
614,Diploma in Media Communications,"Public Relations, Advertising, and Applied Communication"
615,Communication and Media Studies,Communication and Media Studies
616,Bsc civil Engineering technology,Civil Engineering
617,Bsc civil Engg Tech,Civil Engineering
618,Bsc Civil Engineering Technology,Civil Engineering
619,Bsc civil Engineering Technology,Civil Engineering
620,Bsc civil Engineering Technology,Civil Engineering
621,Doctor of Philosophy - PhD Mechanical & Industrial Engineeing,Mechanical & Industrial Engineeing
622,Master's degree Mechanics of Aircraft Structures,Mechanics of Aircraft Structures
623,Bachelor's degree Aviation,"Aeronautics/Aviation/Aerospace Science and Technology, General"
624,Master's Degree Commerical Law,"LLM International Commercial Law, Jurisprudence"
625,Jurisprudence with specialization in civil law,"Jurisprudence, civil law"
626,"Business, Law and Social Sciences","Business, Law and Social Sciences"
627,Financial Management,Financial Management
628,Computer science,Computer science
629,Business,Business
630,Psychology,Psychology
631,Economics,Economics
632,Management,Management
633,Sports Science,Sports Science
634,Construction Management,Construction Management
635,Master of Laws - LLM,"Law, Jurisprudence"
636,Bachelor of Laws - LLB,"Law, Jurisprudence"
637,Supply Chain Management,Supply Chain Management
638,Integr Development Studies Option in economics and entrepreneural studies,Economics and Entrepreneural studies
639,General Arts,General Arts
640,English Literature,English Literature
641,English Literature,General Studies/English
642,BA Hons in Business Management,Business Management
643,Accounting,"Accounting, Finance, Business"
644,Business management,Business management
645,Automotive Engineering Technology/Technician,Automotive Engineering Technology/Technician
646,Management Information Systems,Management Information Systems
647,Master of Business Administration (M.B.A.),"Business Administration, Management and Operations"
648,Bachelor of Commerce (B.Com.),"Commerce, Business Administration"
649,Computer Science,Computer Science
650,Executive MBA,Business/Corporate Communications
651,"Business/Commerce, General","Business/Commerce, General"
652,Economics,Economics
653,Master of Business Administration - MBA,MBA
654,Finance,Finance
655,Evolutionary Genomics & Plant Pathology,Evolutionary Genomics & Plant Pathology
656,Agricultural Engineer degree - MSc degree in Agronomy,Agronomy & Environmental Science; Turfgrass Management
657,Operations Management,Operations Management
658,Management & Human Resources,Management & Human Resources
659,Dual Degree - BFA in graphic design / BA in architecture,Art and Architecture
660,International Baccalaureate,"Art/Art Studies, General"
661,International Baccalaureate,"English, Maths, French, Spanish, German, Biology, Computing Studies, Modern Studies"
662,Architecture,Architecture
663,Physics,Physics
664,Legal Practice,Legal Practice
665,Law,Law
666,Doctor Of Chiropractic,"Medical Sciences, Exercise Physiology"
667,Master Of Science Exercise Physiology,Exercise Physiology
668,Kinesiology and Exercise Science,Kinesiology and Exercise Science
669,Industrial and Systems Engineering,Industrial and Systems Engineering
670,Criminology,Criminology
671,Bachelor of Commerce - BCom,Accounting and Business/Management
672,Associate of Arts and Sciences (AAS),"advertising, fashion merchandising"
673,"Organizational management, theology",Non-Profit/Public/Organizational Management
674,"Associates Degree in buisness administration, computer sci. and Accounting","Buisness administration, Computer science and Accounting"
675,batchelor of political science,Political Science and Government
676,Business Administration and Management,"Business Administration and Management, General"
677,Finance and Credit,Finance and Credit
678,Economy and Planning,Economy and Planning
679,Non-ferrous metallurgy,Non-ferrous metallurgy
680,Machinery,Machinery
681,Marketing and Commerce,Marketing and Commerce
682,European and American Certified Traumatherapist,Traumatherapy
683,Business Management and Psychology,Business Management and Psychology
684,Automotive Engineering,Automotive Engineering
685,Bachelor of Technology - Btech Computer Software Engineering,Computer Software Engineering
686,Bachelor's Degree Business Administration and Management,"Business Administration and Management, General"
687,Master of Business Administration (M.B.A.),"Human Resources Management/Personnel Administration, General"
688,Telecommunications Engineering Technology,Telecommunications Engineering Technology
689,Bachelor of Commerce - BCom,Accounting and Computer Science
690,Computer Science,Computer Science
691,"Logistics, Materials, and Supply Chain Management","Logistics, Materials, and Supply Chain Management"
692,Master of Engineering Management - (MEM),Engineering/Industrial Management
693,Bachelor of Engineering (BE),Mechanical Engineering
694,Pre-Engineering,Pre-Engineering
695,Matriculation,General Studies
696,Graphic Designer and Advertising Speciallist,Advertising
697,Bachelor of Science Electrical Engineering with Minor in Computer Science,"Electrical Engineering, Computer Science"
698,Associate Degree Criminal Justice,Criminology
699,Pre-Medicine/Integrated Life Sciences B.S./M.D.,Pre-Medicine/Integrated Life Sciences B.S./M.D.
700,Russian Language and Literature,Russian Language and Literature
701,Mass Communication/Media Studies,Mass Communication/Media Studies
702,Graduate Diploma in Marketing,Communication and Media Studies
703,Humanities/Humanistic Studies,Humanities/Humanistic Studies
704,Electrical Engineering,Electrical Engineering
705,Electrical Engineering,Electrical Engineering
706,Electrical Engineering,Electrical Engineering
707,Master of Science in Management (MiM),Management
708,Master of Science in Engineering,Engineering
709,Master of Business Administration - MBA,"Management Information Systems, General"
710,Master of Business Administration - BA,Change Management
711,Psychology,Psychology
712,Master of Business Administration - MBA,"Management Information Systems, General"
713,Bachelor of Laws - LLB,"Jurisprudence, Law"
714,"Business Administration and Management, General","Business Administration and Management, General"
715,National Diploma in Production Management,Industrial Production Technologies/Technicians
716,Business Administration,Business Administration
717,Business Administration,Business Administration
718,Information Communication Technology,Information Communication Technology
719,Forestry,Forestry
720,Forest Management/Forest Resources Management,Forestry
721,Forest Management/Forest Resources Management,Forest Management/Forest Resources Management
722,Associate of Arts and Sciences - AAS,General Studies
723,Bachelor's of Fine Art,"Illustration, Graphic Design"
724,Bachelor's degree Computer Science,Computer Science
725,Food & Beverages Division,Food and Beverages
726,Computer Science,advanced computer science
727,Bachelor of Technology - Btech Computer Science,Computer Science
728,Fashion Management and Marketing,Fashion Management and Marketing
729,Communication and Media Studies,Communication and Media Studies
730,Communication and Media Studies,Communication and Media Studies
731,Economics,Economics
732,Environmental Chemistry,Environmental Chemistry
733,Analytical Chemistry (Nanochemistry),Analytical Chemistry (Nanochemistry)
734,Chemistry,Chemistry
735,Honours Chemistry,Honours Chemistry
736,Bachelor of Laws (Hons) and Commerce,"Jurisprudence, Law, Commerce"
737,Finance,Finance
738,Electrical Engineering,Electrical Engineering
739,Computer Science,Computer Science
740,Computer Science,Computer Science
741,Software Engeneering,Software Engeneering
742,Computer Science,Computer Science
743,Data Processing,"Data Processing, Business Analysis, Data Management"
744,Physics,Physics
745,Mathematics,Mathematics
746,Political Science and International Studies,Political Science and International Studies
747,B.S. Business Administration,Marketing
748,Management of Information Systems,Management of Information Systems
749,"Business Administration and Management, General","Business Administration and Management, General"
750,"Business Administration and Management, General","Business Administration and Management, General"
751,Agribusiness/Agricultural Business Operations,Agribusiness/Agricultural Business Operations
752,Agricultural Engineer degree - MSc degree in Agronomy,Agribusiness/Agricultural Business Operations
753,Nursing,Nursing
754,Master of Science in Nursing,Nurse Anesthetist
755,Bachelor of Science in Engineering - BSE Biological Engineering,Biological Engineering
756,Regenerative Medicine - Cardiac Regeneration,"Medical Sciences, Healthcare"
757,Biological Engineering,Biological Engineering
758,Digital Culture & Society,Digital Culture & Society
759,Advertising,Advertising
760,Cultural Anthropology,Cultural Anthropology
761,Public Administration,Public Administration
762,Intermedia/Multimedia,Intermedia/Multimedia
763,Applied Social Sciences,Applied Social Sciences
764,Bachelor of Business Administration - BBA,"Business Administration and Management, General"
765,"Business Administration and Management, General","Business Administration and Management, General"
766,Information Technology,Information Technology
767,Information Technology,Information Technology
768,Master of Computer Applications,Computer Science
769,Advertising,Advertising
770,Neuroscience,Neuroscience
771,Profissional self coaching,Profissional self coaching
772,"French Studies, History of Art","French Studies, History of Art"
773,Corporate / Executive Coaching Diploma,Corporate / Executive Coaching Diploma
774,English Philology,English Philology
775,Bachelor of Business Administration - BBA,Business
776,Accounting and Business/Management,Accounting and Business/Management
777,Engineering (Mechanical),Engineering
778,Secondary Education and Teaching,Secondary Education and Teaching
779,Secondary Education and Teaching,Secondary Education and Teaching
780,Maths pure & applied,Mathematics
781,Master of Business Administration - MBA,Investment Analysis
782,Finance,Finance
783,Civil Engineering,Civil Engineering
784,Civil Engineering,Civil Engineering
785,Master of Computer Applications (MCA),"Computer Application, Computer Engineering"
786,Bachelor of Communications,Public Relations/Corporate Communications
787,Employment Services,Employment Services
788,Advance Diploma Mass Communications,Public Relations/Advertising
789,Business Studies,Business Studies
790,Computer Technology/Computer Systems Technology,Computer Technology/Computer Systems Technology
791,Applied Software Development,Applied Software Development
792,Computer Engineering,Computer Engineering
793,Computer Engineering,Computer Engineering
794,Computer Hardware Technician,Computer Hardware
795,"Business, Management, Marketing, and Related Support Services","Business, Management, Marketing, and Related Support Services"
796,"Fine Arts, graphic","Fine Arts, graphic"
797,"Business, Management, Marketing, and Related Support Services","Business, Management, Marketing, and Related Support Services"
798,Media Arts,Media Arts
799,"Business Administration and Management, General","Business Administration and Management, General"
800,"Business Administration and Management, General","Business Administration and Management, General"
801,Bachelor of Applied Science (BASc) Geology,"Geology/Earth Science, General"
802,Bachelor of Business Administration (BBA),Marketing and Business Administration
803,Visual Artisan,"Commercial photography, Photojournalism, Product photography"
804,History,History
805,Elementary/Special Education,Education
806,Electrical and Electronics Engineering,Electrical and Electronics Engineering
807,Electrical and Electronics Engineering,Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD
808,Neuroscience,Neuroscience
809,"Biology, Psychology, Art","Biology, Psychology, Art"
810,Risk management and Finance,Risk management and Finance
811,Criminal Justice/Law Enforcement Administration,Criminal Justice/Law Enforcement Administration
812,Workplace Wellness and Health Promotion,Workplace Wellness and Health Promotion
813,Psychology,"Psychology, Mental, Healthcare"
814,Electric and Computer Engineering,Electric and Computer Engineering
815,Telecommunication Engineering,Telecommunication Engineering
816,Business,Business
817,Postgraduate Diploma in EU Competition law,Competition law
818,Law,"Jurisprudence, Law"
819,Computer Science & Engineering,Computer Science & Engineering
820,Nursing,Nursing
821,Italian & European Literature,Italian & European Literature
822,Psychology and Sociology,Psychology and Sociology
823,Political Science and Government,Political Science and Government
824,Liberal Arts and Sciences/Liberal Studies,Liberal Arts and Sciences/Liberal Studies
825,Master of Business Administration - MBA,Marketing
826,Mass Communication/Media Studies,Mass Communication/Media Studies
827,"Master's degree, Human Resources Management",Human Resources Management
828,Diploma,General Studies
829,Bachelor of Laws (LLB),"Jurisprudence, Law, Civil Law"
830,Computer Science,Computer Science
831,Master of Fine Arts - MFA,Creative Writing
832,Design and Merchandising,Design and Merchandising
833,Fine Art,Fine Art
834,Sports management,Sports management
835,Biology,Biology
836,Master of Arts - MA Education,Secondary Education and Teaching
837,Bachelors of Science Biology,Biology
838,Bachelor of Arts (BA) Hons Graphic Communication with Typography,Graphic Communication with Typography
839,Bachelor of Commerce (B.Com.),"Income Tax, Financial Accounting, Business Study"
840,Film-Making and Creative Media,Film-Making and Creative Media
841,Creative Media Production (TV&Film),Creative Media Production
842,Creative Media Production,Creative Media Production
843, Health and Safety (QCF),Creative Media Production
844,Advertising,Interactive Design
845,Mechanical Engineering,Mechanical Engineering
846,Bachelors of Engineering with Honors Computer Science & Technology,Computer Science & Technology
847,Business Administration and Management,Business Administration and Management
848,Water Resources Engineering,Water Resources Engineering
849,Bachelor of Engineering (B.E.) Civil Engineering,Civil Engineering
850,Writing & Publishing studies,Writing & Publishing studies
851,Social Sciences,Social Sciences
852,Social Work,Social Work
853,British Sign Language,British Sign Language
854,Social Work,Social Work
855,Mathematical Sciences,Mathematical Sciences
856,Sociology,Sociology
857,Sociology,Sociology
858,"Sociology, biology, geography","Sociology, biology, geography"
859,School Counseling,School Counseling
860,"Management Information Systems, Marketing","Management Information Systems, Marketing"
861,Criminal and child psychology,"Criminal and child psychology, Jusrisprudence"
862,B Tech Mechanical Engineering,Mechanical Engineering
863,"Logistics, Materials, and Supply Chain Management","Logistics, Materials, and Supply Chain Management"
864,Bachelor of Commerce - BCom,Accounting and Business/Management
865,Master of Business Administration - MBA,Accounting and Business/Management
866,Bachelor of Science - BS,Accounting
867,BS - Finance,Finance
868,Computer Science,Computer Science
869,Political Science,"Political Science, Methods and Models"
870,Master's degree Physician Assistant,"Physician Assistant, Medical Science, Healthcare"
871,Kinesiology and Exercise Science,"Kinesiology and Exercise Science, Medical Science, Healthcare"
872,Agricultural Business and Management,Agricultural Business and Management
873,Food Technology and Processing,Food Technology and Processing
874,Master of Engineering - MEng Mechanical Engineering,Mechanical Engineering
875,Bachelor of Science (BSc) Mechanical Engineering,Mechanical Engineering
876,Certified Internal Auditor - CIA,Internal Auditing
877,Bachelor of Commerce (B.Com.),Accounting and Auditing
878,Bachelor of Science in Aerospace Engineering (BSAE),Aerospace Engineering
879,Bachelor of Business Administration (B.B.A.),"Marketing/Marketing Management, General"
